key,en,es,ru,ko,ja,it,de,fr,nl,zh,ar,ur
promoteSoloQuestionText_veralusso,How Can You Promote Veralusso (as an affiliate)?,¿Cómo puedes promover Veralusso (como afiliado)?,Как вы можете продвигать Veralusso (как филиал)?,Veralusso (계열사)를 어떻게 홍보 할 수 있습니까?,どのようにして（アフィリエイトとして）Veralussoを宣伝できますか？,Come puoi promuovere Veralusso (come affiliato)?,Wie können Sie Veralusso (als Partner) fördern?,Comment pouvez-vous promouvoir Veralusso (en tant qu'affilié)?,Hoe kunt u Veralusso promoten (als een gelieerde onderneming)?,您如何促进Veralusso（作为会员）？,كيف يمكنك الترويج لـ Veralusso (كشركة تابعة)؟,آپ ویرالوسو (ایک وابستہ کی حیثیت سے) کو کیسے فروغ دے سکتے ہیں؟
promoteSoloAnswerOneText_veralusso,Creating high-quality and engaging content that mirrors the style of Veralusso,Crear contenido de alta calidad y atractivo que refleje el estilo de Veralusso,"Создание высококачественного и привлекательного контента, который отражает стиль Veralusso",Veralusso의 스타일을 반영하는 고품질 및 매력적인 콘텐츠 작성,Veralussoのスタイルを反映する高品質で魅力的なコンテンツを作成する,Creazione di contenuti di alta qualità e coinvolgenti che rispecchiano lo stile di VeraluSo,"Erstellen Sie hochwertige und ansprechende Inhalte, die den Stil des Veralussos widerspiegeln",Création de contenu de haute qualité et engageant qui reflète le style de Veralusso,Het creëren van hoogwaardige en boeiende inhoud die de stijl van Veralusso weerspiegelt,创建反映Veralusso风格的高质量和引人入胜的内容,إنشاء محتوى عالي الجودة وجذاب يعكس نمط Veralusso,اعلی معیار اور دل چسپ مواد کی تشکیل جو ورالوسو کے انداز کو آئینہ دار کرتی ہے
howApplyAnswerOneText_veralusso,"Email us the name and URL of your website, blog or social media profile and your main markets. We’ll review your site and get back to you with further information on how to join the affiliate program.

Please note that all applications are manually evaluated and processing may take up to 10 days.

If you feel your application has been wrongfully declined please contact affiliates@veralusso.com and a member of the team will address your concerns.","Envíenos un correo electrónico con el nombre y la URL de su sitio web, blog o perfil de redes sociales y sus principales mercados. Revisaremos su sitio y le responderemos con más información sobre cómo unirse al programa de afiliados.

Tenga en cuenta que todas las aplicaciones se evalúan manualmente y el procesamiento puede llevar hasta 10 días.

Si cree que su solicitud ha sido rechazada injustamente, comuníquese con afiliates@veralusso.com y un miembro del equipo abordará sus inquietudes.","Напишите нам имя и URL вашего веб -сайта, блогов или профиля в социальных сетях и ваши основные рынки. Мы рассмотрим ваш сайт и вернемся к вам с дополнительной информацией о том, как присоединиться к партнерской программе.

Обратите внимание, что все приложения оцениваются вручную, а обработка может занять до 10 дней.

Если вы чувствуете, что ваше заявление было неправомерно отклонено, пожалуйста, свяжитесь с Affiliates@veralusso.com, и член команды рассмотрит ваши проблемы.","웹 사이트, 블로그 또는 소셜 미디어 프로필 및 주요 시장의 이름과 URL을 이메일로 보내주십시오. 귀하의 사이트를 검토하고 제휴 프로그램에 가입하는 방법에 대한 자세한 내용을 알려 드리겠습니다.

모든 응용 프로그램은 수동으로 평가되며 처리에는 최대 10 일이 걸릴 수 있습니다.

신청서가 잘못 거부되었다고 생각되면 istiliates@veralusso.com으로 문의하십시오. 팀원이 귀하의 우려 사항을 해결할 것입니다.","あなたのウェブサイト、ブログ、ソーシャルメディアプロフィール、および主要な市場の名前とURLをメールで送信してください。アフィリエイトプログラムへの参加方法に関する詳細については、サイトを確認してご連絡いたします。

すべてのアプリケーションは手動で評価され、処理が最大10日かかる場合があることに注意してください。

アプリケーションが誤って拒否されていると感じた場合は、Affiliates@veralusso.comに連絡してください。チームのメンバーが懸念に対処します。","Inviaci un'e -mail il nome e l'URL del tuo sito Web, del blog o del profilo dei social media e dei tuoi mercati principali. Esamineremo il tuo sito e ti ritorneremo con ulteriori informazioni su come aderire al programma di affiliazione.

Si noti che tutte le applicazioni vengono valutate manualmente e l'elaborazione può richiedere fino a 10 giorni.

Se ritieni che la tua domanda sia stata ingiustamente diminuita, contatta affiliates@veraluso.com e un membro del team affronterà le tue preoccupazioni.","Senden Sie uns den Namen und die URL Ihrer Website, Ihres Blogs oder Ihres Social -Media -Profils und Ihrer Hauptmärkte per E -Mail. Wir werden Ihre Website überprüfen und sich mit weiteren Informationen zum Beitritt zum Partnerprogramm bei Ihnen melden.

Bitte beachten Sie, dass alle Anwendungen manuell bewertet werden und die Verarbeitung bis zu 10 Tage dauern kann.

Wenn Sie der Meinung sind, dass Ihre Bewerbung zu Unrecht abgelehnt wurde, wenden Sie sich bitte an affiliates@veralusso.com und ein Mitglied des Teams wird Ihre Bedenken angehen.","Envoyez-nous un e-mail le nom et l'URL de votre site Web, blog ou profil de médias sociaux et vos principaux marchés. Nous allons passer en revue votre site et vous répondre avec de plus amples informations sur la façon de rejoindre le programme d'affiliation.

Veuillez noter que toutes les applications sont évaluées manuellement et que le traitement peut prendre jusqu'à 10 jours.

Si vous pensez que votre demande a été injustement refusée, veuillez contacter affiliées@veralusso.com et un membre de l'équipe répondra à vos préoccupations.","E -mail ons de naam en URL van uw website, blog- of sociale media -profiel en uw belangrijkste markten. We zullen uw site bekijken en contact met u opnemen met meer informatie over hoe u lid kunt worden van het affiliate -programma.

Houd er rekening mee dat alle toepassingen handmatig worden geëvalueerd en de verwerking tot 10 dagen kan duren.

Als u denkt dat uw aanvraag ten onrechte is geweigerd, neemt u contact op met affiliates@veralusso.com en een lid van het team zal uw zorgen aanpakken.","通过电子邮件将您的网站，博客或社交媒体资料以及您的主要市场的名称和URL发送电子邮件。我们将查看您的网站，并与您联系，以获取有关如何加入会员计划的更多信息。

请注意，所有申请均已手动评估，处理可能需要长达10天。

如果您认为您的申请已被错误拒绝，请联系affiliates@veralusso.com，团队成员将解决您的疑虑。","أرسل لنا اسم عنوان URL لموقع الويب الخاص بك أو المدونة أو ملف تعريف الوسائط الاجتماعية والأسواق الرئيسية الخاصة بك. سنقوم بمراجعة موقعك ونعود إليك بمزيد من المعلومات حول كيفية الانضمام إلى البرنامج التابع.

يرجى ملاحظة أن جميع التطبيقات يتم تقييمها يدويًا وأن المعالجة قد تستغرق ما يصل إلى 10 أيام.

إذا شعرت أن طلبك قد تم رفضه خطأ ، فيرجى الاتصال بـ Affiliates@veralusso.com وسيتناول أحد أعضاء الفريق مخاوفك.","ہمیں اپنی ویب سائٹ ، بلاگ یا سوشل میڈیا پروفائل اور اپنے اہم بازاروں کا نام اور یو آر ایل ای میل کریں۔ ہم آپ کی سائٹ کا جائزہ لیں گے اور ملحق پروگرام میں شامل ہونے کے بارے میں مزید معلومات کے ساتھ آپ کے پاس واپس جائیں گے۔

براہ کرم نوٹ کریں کہ تمام درخواستوں کا دستی طور پر جائزہ لیا جاتا ہے اور پروسیسنگ میں 10 دن لگ سکتے ہیں۔

اگر آپ کو لگتا ہے کہ آپ کی درخواست کو غلط طریقے سے مسترد کردیا گیا ہے تو براہ کرم affiliates@veralusso.com سے رابطہ کریں اور ٹیم کا ایک ممبر آپ کے خدشات کو دور کرے گا۔"
contactNoText,Contact no.,Contacto no.,Контакт №.,연락 번호.,連絡先番号。,Contatto n.,Kontakt Nr.,NO.,Contact nr.,联系方式。,رقم الاتصال.,رابطے کا نمبر.
profileText,Profile,Perfil,Профиль,프로필,プロフィール,Profilo,Profil,Profil,Profiel,轮廓,الملف الشخصي,پروفائل
referFriendMyAccountText_veralusso,Refer Friend,Referir amigo,Обратитесь к другу,친구를 참조하십시오,友達を参照してください,Fare riferimento all'amico,Freund verweisen,Référer un ami,Verwijs vriend,推荐朋友,إحالة الصديق,دوست سے رجوع کریں
changetheworldwithyourpurchaseText,Change The World With Your Purchase,Cambia el mundo con tu compra,Измените мир с помощью вашей покупки,구매로 세상을 바꾸십시오,あなたの購入で世界を変えてください,Cambia il mondo con il tuo acquisto,Verändere die Welt mit deinem Kauf,Changez le monde avec votre achat,Verander de wereld met uw aankoop,通过购买改变世界,تغيير العالم مع الشراء الخاص بك,اپنی خریداری کے ساتھ دنیا کو تبدیل کریں
defaultAddressesText,Default Addresses,Direcciones predeterminadas,Адреса по умолчанию,기본 주소,デフォルトアドレス,Indirizzi predefiniti,Standardadressen,Adresses par défaut,Standaardadressen,默认地址,العناوين الافتراضية,پہلے سے طے شدہ پتے
billingAddressText,Billing Address,Dirección de Envio,Адрес для выставления счета,청구 지 주소,請求先住所,Indirizzo Di Fatturazione,Rechnungsadresse,Adresse de facturation,Facturatie adres,帐单地址,عنوان وصول الفواتير,بل کا پتہ
youhaveNoAddressText,You Have No Other Address Entries In Your Address Book.,No tiene otras entradas de dirección en su libreta de direcciones.,У вас нет других записей адреса в вашей адресной книге.,주소록에 다른 주소 항목이 없습니다.,アドレス帳に他のアドレスエントリはありません。,Non hai altre voci di indirizzo nella tua rubrica.,Sie haben keine anderen Adresseinträge in Ihrem Adressbuch.,Vous n'avez pas d'autres entrées d'adresse dans votre carnet d'adresses.,U hebt geen andere adresitems in uw adresboek.,您的地址簿中没有其他地址条目。,ليس لديك إدخالات عنوان أخرى في دفتر العناوين الخاص بك.,آپ کی ایڈریس بک میں آپ کے پاس ایڈریس کے کوئی اور اندراج نہیں ہیں۔
addnewAddressText,Add New Address,Agregar nueva dirección,Добавить новый адрес,새 주소를 추가하십시오,新しいアドレスを追加,Aggiungi un nuovo indirizzo,Neue Adresse hinzufügen,Ajouter une nouvelle adresse,Nieuw adres toevoegen,添加新地址,أضف عنوانًا جديدًا,نیا پتہ شامل کریں
subsubcribeText,Subscribe To Our Newsletter,Suscríbete a nuestro boletín,Подписывайтесь на нашу новостную рассылку,뉴스 레터를 구독하십시오,ニュースレターを購読する,Iscriviti alla nostra Newsletter,Abonnieren Sie unseren Newsletter,Abonnez-vous à notre newsletter,Abonneer op onze nieuwsbrief,订阅我们的新闻,اشترك في نشرتنا الإخبارية,ہماری نیوز لیٹر کو سبسکرائب کریں
getAllTheLatestText,"Get all the latest information on Events, Sales and Offers. Sign up for newsletter today","Obtenga toda la información más reciente sobre eventos, ventas y ofertas. Regístrese en el boletín hoy","Получите всю последнюю информацию о событиях, продажах и предложениях. Зарегистрируйтесь на информационный бюллетень сегодня","이벤트, 판매 및 제안에 대한 모든 최신 정보를 얻으십시오. 오늘 뉴스 레터에 가입하십시오",イベント、販売、オファーに関するすべての最新情報を入手してください。今日ニュースレターにサインアップしてください,"Ottieni tutte le ultime informazioni su eventi, vendite e offerte. Iscriviti alla newsletter oggi","Holen Sie sich die neuesten Informationen zu Veranstaltungen, Verkäufen und Angeboten. Melden Sie sich noch heute für den Newsletter an","Obtenez toutes les dernières informations sur les événements, les ventes et les offres. Inscrivez-vous à la newsletter aujourd'hui","Ontvang de laatste informatie over evenementen, verkoop en aanbiedingen. Meld u vandaag aan voor nieuwsbrief",获取有关事件，销售和优惠的所有最新信息。今天注册时事通讯,احصل على أحدث المعلومات حول الأحداث والمبيعات والعروض. اشترك في النشرة الإخبارية اليوم,واقعات ، فروخت اور پیش کشوں کے بارے میں تمام تازہ ترین معلومات حاصل کریں۔ آج نیوز لیٹر کے لئے سائن اپ کریں
saveAdressText,Save Address,Guardar la dirección,Сохраните адрес,주소를 저장하십시오,アドレスを保存します,Salva indirizzo,Adresse speichern,ARRESSION SAVE,Opslaan adres,保存地址,حفظ العنوان,ایڈریس محفوظ کریں
useasMybillingAddresText,Use As My Default Billing Address,Usar como mi dirección de facturación predeterminada,Используйте в качестве платежного адреса по умолчанию,기본 청구서 주소로 사용하십시오,デフォルトの請求アドレスとして使用します,Usa come il mio indirizzo di fatturazione predefinito,Verwenden Sie als meine Standard -Abrechnungsadresse,Utiliser comme mon adresse de facturation par défaut,Gebruik als mijn standaard factureringsadres,用作我的默认计费地址,استخدم كعنوان الفواتير الافتراضي الخاص بي,میرے ڈیفالٹ بلنگ ایڈریس کے طور پر استعمال کریں
useasMyshippingAddresText,Use As My Default Shipping Address,Usar como mi dirección de envío predeterminada,Используйте в качестве моего адреса доставки по умолчанию,기본 선적 주소로 사용하십시오,デフォルトの配送先住所として使用します,Usa come il mio indirizzo di spedizione predefinito,Verwenden Sie als meine Standard -Versandadresse,Utiliser comme mon adresse d'expédition par défaut,Gebruik als mijn standaard verzendadres,用作我的默认运输地址,استخدم عنوان الشحن الافتراضي الخاص بي,میرے پہلے سے طے شدہ شپنگ ایڈریس کے طور پر استعمال کریں
orderRefernceText_veralusso,Order reference,Pedir Referencia,Код заказа,주문 참조,参照を注文します,Riferenza dell'ordine,Bestellnummer,Référence de l'achat,Bestelreferentie,订单参考,ترتيب المرجعي,حکم کا حوالہ
wishListText_veralusso,Wish List,Lista de deseos,Список желаний,위시리스트,ウィッシュリスト,Lista dei desideri,Wunschzettel,Liste de souhaits,Wensenlijst,愿望清单,قائمة الرغبات,خواہش کی فہرست
newsLetterText_veralusso,NEWSLETTER SUBSCRIPTIONS,SUSCRIPCIONES A LOS BOLETINES,Подписки на информационные бюллетени,뉴스 레터 구독,ニュースレターサブスクリプション,Abbonamenti a newsletter,NEWSLETTER-ABOS,ABONNEMENT À LA NEWSLETTER,NIEUWSBRIEF ABONNEMENTEN,新闻通讯订阅,اشتراك الرسائل الإخبارية,نیوز لیٹر سبسکرپشنز
typeOfEnquiryText_veralusso,Type Of Enquiry,Tipo de consulta,Тип запроса,문의 유형,問い合わせの種類,Tipo di indagine,Art der Anfrage,Type d'enquête,Type onderzoek,查询类型,نوع الاستفسار,انکوائری کی قسم
surNameText_veralusso,Surname,Apellido,Фамилия,성,姓,Cognome,Familien-oder Nachname,Nom de famille,Achternaam,姓,اسم العائلة,کنیت
subjectText_veralusso,Subject,Tema,Предмет,주제,主題,Materia,Thema,Matière,Onderwerp,主题,موضوعات,مضمون
youaddCartText_veralusso,You Added,Tu agregaste,Вы добавили,당신은 추가했습니다,追加しました,Hai aggiunto,Du hast hinzugefügt,Tu as ajouté,Jij voegde toe,您添加了,لقد أضفت,آپ نے مزید کہا
specialSizeCompanyText,Comapany,Comapanía,Комапани,코마 파니,コマーニー,Comapany,Comapany,Comapanie,Comapany,Comapany,كوماباني,Comapany
specialSizeContactsText,Contacts,Contactos,Контакты,콘택트 렌즈,連絡先,Contatti,Kontakte,Contacts,Contacten,联系人,جهات الاتصال,رابطے
specialSizeOthersText,Others,Otros,Другие,기타,その他,Altri,Andere,Les autres,Anderen,其他,آحرون,دوسرے
specialSizeSubscribeToNewsletterText,SUBSCRIBE TO OUR NEWSLETTER,SUSCRÍBETE A NUESTRO BOLETÍN,ПОДПИСЫВАЙТЕСЬ НА НАШУ НОВОСТНУЮ РАССЫЛКУ,뉴스 레터를 구독하십시오,ニュースレターを購読する,ISCRIVITI ALLA NOSTRA NEWSLETTER,ABONNIEREN SIE UNSEREN NEWSLETTER,ABONNEZ-VOUS À NOTRE NEWSLETTER,ABONNEER OP ONZE NIEUWSBRIEF,订阅我们的新闻,اشترك في نشرتنا الإخبارية,ہماری نیوز لیٹر کو سبسکرائب کریں
specialSizeGetInformationOneText,"Get all the latest information on Events,","Obtenga toda la información más reciente sobre eventos,","Получите всю последнюю информацию о событиях,",이벤트에 대한 최신 정보를 모두 얻고,イベントに関するすべての最新情報を取得し、,"Ottieni tutte le ultime informazioni sugli eventi,","Holen Sie sich die neuesten Informationen zu Veranstaltungen,","Obtenez toutes les dernières informations sur les événements,","Ontvang de laatste informatie over evenementen,",获取有关事件的所有最新信息，,احصل على أحدث المعلومات حول الأحداث ،,واقعات سے متعلق تمام تازہ ترین معلومات حاصل کریں ،
specialSizeGetInformationTwoText,Sales and Offers. Sign up for newsletter today.,Ventas y ofertas. Regístrese en el boletín hoy.,Продажи и предложения. Зарегистрируйтесь на информационный бюллетень сегодня.,판매 및 제안. 오늘 뉴스 레터에 가입하십시오.,販売とオファー。今日ニュースレターにサインアップしてください。,Vendite e offerte. Iscriviti alla newsletter oggi.,Verkauf und Angebote. Melden Sie sich noch heute für den Newsletter an.,Ventes et offres. Inscrivez-vous à la newsletter aujourd'hui.,Verkoop en aanbiedingen. Meld u vandaag aan voor nieuwsbrief.,销售和优惠。今天注册时事通讯。,المبيعات والعروض. اشترك في النشرة الإخبارية اليوم.,فروخت اور پیش کش۔ آج نیوز لیٹر کے لئے سائن اپ کریں۔
specialSizeEmailAddressText,Email Address,Dirección de correo electrónico,Адрес электронной почты,이메일 주소,電子メールアドレス,Indirizzo e-mail,E-Mail-Addresse,Adresse e-mail,E-mailadres,电子邮件地址,عنوان البريد الالكترونى,ای میل اڈریس
specialSizeSubscribeText,SUBSCRIBE,SUSCRIBIR,ПОДПИСЫВАТЬСЯ,구독하다,申し込む,SOTTOSCRIVI,ABONNIEREN,S'ABONNER,ABONNEREN,订阅,الإشتراك,سبسکرائب
esitamteText,Estimate Shipping and Tax,Envío e impuesto estimado,Оценить доставку и налог,배송 및 세금을 추정하십시오,見積もり配送料金と税金,costi stimati di trasporto e tasse,Geschätzter Versand und Steuern,Estimation des frais de transports et de la TVA,Schatting verzendkosten en BTW,估计运费和税,تقدير الشحن والضرائب,شپنگ اور ٹیکس کا تخمینہ لگائیں
nameText_veralusso,Name,Nombre,Имя,이름,名前,Nome,Name,Nom,Naam,姓名,اسم,نام
shipping1Text,Shipping,Transporte,Перевозки,배송,運送,Spedizione,Versand,Expédition,Verzenden,船运,شحن,شپنگ
streetAdd1Text,Street Address 1,Dirección Calle 1,Улица 1,거리 주소 1,住所1,Indirizzo 1,Adresse 1,adresse 1,Straatnaam 1,街道地址1,عنوان الشارع 1,سٹریٹ ایڈریس 1
streetAdd2Text,Street Address 2,Dirección de la calle 2,Уличный адрес 2,거리 주소 2,路上住所2,Indirizzo di strada 2,Straßenadresse 2,Adresse de la rue 2,Straatadres 2,街道地址2,عنوان الشارع 2,گلی کا پتہ 2
updateAdressText,Update Address,Dirección de actualización,Обновление адреса,업데이트 주소,アドレスを更新します,Indirizzo di aggiornamento,Adresse aktualisieren,Adresse de mise à jour,Update adres,更新地址,تحديث العنوان,ایڈریس اپ ڈیٹ کریں
streetAdd3Text,Street Address 3,Dirección de la calle 3,Уличный адрес 3,거리 주소 3,路上住所3,Indirizzo di strada 3,Straßenadresse 3,Adresse de la rue 3,Straatadres 3,街道地址3,عنوان الشارع 3,گلی کا پتہ 3
policyHeadingText_veralusso,Veralusso Group Privacy Policy,Política de privacidad del grupo Veralusso,Политика конфиденциальности Group Veralusso,Veralusso 그룹 개인 정보 보호 정책,Veralussoグループプライバシーポリシー,Informativa sulla privacy del gruppo Veralusso,Veralusso -Gruppen Datenschutzrichtlinie,Politique de confidentialité du groupe Veralusso,Veralusso Group Privacybeleid,Veralusso集团隐私政策,سياسة خصوصية مجموعة Veralusso,ویرالوسو گروپ پرائیویسی پالیسی
forgotYourPasswordDescriptionText_veralusso,Please Enter Your Email Address Below To Receive a Password Reset Link.,Ingrese su dirección de correo electrónico a continuación para recibir un enlace de restablecimiento de contraseña.,"Пожалуйста, введите свой адрес электронной почты ниже, чтобы получить ссылку на сброс пароля.",비밀번호 재설정 링크를 받으려면 아래에 이메일 주소를 입력하십시오.,パスワードリセットリンクを受信するには、以下のメールアドレスを入力してください。,Inserisci il tuo indirizzo email di seguito per ricevere un link reimpostazione della password.,"Bitte geben Sie unten Ihre E -Mail -Adresse ein, um einen Link zum Zurücksetzen des Kennworts zu erhalten.",Veuillez saisir votre adresse e-mail ci-dessous pour recevoir un lien de réinitialisation de mot de passe.,Voer hieronder uw e -mailadres in om een ​​wachtwoordresetlink te ontvangen.,请在下面输入您的电子邮件地址以接收密码重置链接。,الرجاء إدخال عنوان بريدك الإلكتروني أدناه لتلقي رابط إعادة تعيين كلمة المرور.,پاس ورڈ ری سیٹ لنک موصول کرنے کے لئے براہ کرم نیچے اپنا ای میل ایڈریس درج کریں۔
forgetPasswordContain_veralusso,"We have sent you a Password Reset Link
 This Link is valid for 2 hours  if you 
did not make this request you can ignore
 this email Please check 
your spam folder if you do not 
receive the email  For any assistance
 please","Le hemos enviado un enlace de restablecimiento de contraseña
 Este enlace es válido por 2 horas si
no hizo esta solicitud que pueda ignorar
 este correo electrónico por favor verifique
Tu carpeta de spam si no
recibir el correo electrónico para cualquier ayuda
 por favor","Мы отправили вам ссылку сброса пароля
 Эта ссылка действительна в течение 2 часов, если вы
не сделал эту просьбу, вы можете игнорировать
 Это письмо, пожалуйста, проверьте
ваша папка спама, если вы этого не сделаете
Получите электронное письмо за любую помощь
 пожалуйста","비밀번호 재설정 링크를 보냈습니다
 이 링크는 2 시간 동안 유효합니다
무시할 수있는이 요청을하지 않았습니다
 이 이메일을 확인하십시오
그렇지 않은 경우 스팸 폴더
도움을 받으려면 이메일을 받으십시오
 제발","パスワードリセットリンクを送信しました
 このリンクは、あなたがいる場合は2時間有効です
あなたが無視できるこの要求をしなかった
 このメールは確認してください
そうでない場合はスパムフォルダー
支援のためにメールを受け取ります
 お願いします","Ti abbiamo inviato un link di reimpostazione della password
 Questo link è valido per 2 ore se tu
non ha fatto questa richiesta puoi ignorare
 Questa e -mail si prega di controllare
la tua cartella spam se non lo fai
Ricevi l'e -mail per qualsiasi assistenza
 per favore","Wir haben Ihnen einen Link zum Zurücksetzen des Passworts gesendet
 Dieser Link ist 2 Stunden gültig, wenn Sie
Sie haben diese Anfrage nicht gestellt, die Sie ignorieren können
 Diese E -Mail prüfen Sie bitte
Ihr Spamordner, wenn Sie dies nicht tun
Erhalten Sie die E -Mail für jede Unterstützung
 bitte","Nous vous avons envoyé un lien de réinitialisation de mot de passe
 Ce lien est valable pendant 2 heures si vous
n'a pas fait cette demande que vous pouvez ignorer
 Cet e-mail, veuillez vérifier
Votre dossier de spam si vous ne le faites pas
Recevez l'e-mail pour toute assistance
 s'il vous plaît","We hebben u een wachtwoordreset -link gestuurd
 Deze link is 2 uur geldig als u
heeft dit verzoek niet gedaan dat u kunt negeren
 Deze e -mail raadpleeg de e -mail
uw spammap als u dat niet doet
Ontvang de e -mail voor elke hulp
 alsjeblieft","我们已向您发送了一个密码重置链接
 如果您
没有提出这个请求，您可以忽略
 这封电子邮件请检查
如果您不这样做，您的垃圾邮件文件夹
收到电子邮件以提供任何帮助
 请","لقد أرسلنا لك رابط إعادة تعيين كلمة المرور
 هذا الرابط صالح لمدة ساعتين إذا كنت
لم يقدم هذا الطلب يمكنك تجاهله
 هذا البريد الإلكتروني يرجى التحقق
مجلد البريد العشوائي الخاص بك إذا لم تفعل
تلقي البريد الإلكتروني للحصول على أي مساعدة
 من فضلك","ہم نے آپ کو پاس ورڈ ری سیٹ لنک بھیجا ہے
 یہ لنک 2 گھنٹے کے لئے موزوں ہے اگر آپ
اس درخواست کو نہیں بنایا جس کو آپ نظرانداز کرسکتے ہیں
 یہ ای میل براہ کرم چیک کریں
اگر آپ ایسا نہیں کرتے ہیں تو آپ کا اسپام فولڈر
کسی بھی مدد کے لئے ای میل وصول کریں
 برائے مہربانی"
teamVeralussoText,Team Vera Lusso.,Equipo Vera Lusso.,Команда Вера Луссо.,팀 베라 루소.,Team Vera Lusso。,Team Vera Lusso.,Team Vera Lusso.,Team Vera Lusso.,Team Vera Lusso.,Vera Lusso团队。,فريق فيرا لوسو.,ٹیم ویرا لوسو۔
wehaveRecivedText_veralusso,We have received your request and your request Id is - Please Check the status of your request at @@@@. contact us at care@veralusso.com - for any query with regards to request.,"Hemos recibido su solicitud y su identificación de solicitud es: consulte el estado de su solicitud en @@@@. Contáctenos en Care@veralusso.com, para cualquier consulta con respecto a la solicitud.","Мы получили ваш запрос, и ваш идентификатор запроса: пожалуйста, проверьте статус вашего запроса по адресу @@@@. Свяжитесь с нами по адресу care@veralusso.com - для любого запроса в отношении запроса.",당사는 귀하의 요청을 받았으며 귀하의 요청 ID는 - @@@@@@요청 상태를 확인하십시오. 요청과 관련하여 쿼리에 대해 care@veralusso.com으로 문의하십시오.,お客様のリクエストを受け取りましたが、リクエストIDは次のとおりです。リクエストのステータスを@@@@で確認してください。 care@veralusso.comまでお問い合わせください - リクエストに関する質問についてはご連絡ください。,Abbiamo ricevuto la tua richiesta e l'ID richiesta è: controlla lo stato della tua richiesta all'indirizzo @@@@. Contattaci all'indirizzo care@veraluso.com - per qualsiasi domanda per quanto riguarda la richiesta.,Wir haben Ihre Anfrage erhalten und Ihre Anfrage -ID lautet - Bitte überprüfen Sie den Status Ihrer Anfrage unter @@@@@. Kontaktieren Sie uns unter care@veralusso.com - für eine Frage in Bezug auf Anfrage.,Nous avons reçu votre demande et votre identifiant de demande est - veuillez vérifier l'état de votre demande à @@@@. Contactez-nous à care@veralusso.com - pour toute requête en ce qui concerne la demande.,We hebben uw verzoek ontvangen en uw aanvraag -ID is - Controleer de status van uw verzoek op @@@@. Neem contact met ons op via care@veralusso.com - voor elke vraag met betrekking tot aanvragen.,我们已收到您的请求，您的请求ID是 - 请在@@@@中检查您的请求状态。请通过care@veralusso.com与我们联系 - 有关请求的任何查询。,لقد تلقينا طلبك ومعرف طلبك - يرجى التحقق من حالة طلبك على@@ اتصل بنا على care@veralusso.com - للحصول على أي استفسار فيما يتعلق بالطلب.,ہمیں آپ کی درخواست موصول ہوئی ہے اور آپ کی درخواست کی شناخت ہے - براہ کرم اپنی درخواست کی حیثیت کو چیک کریں@ درخواست کے حوالے سے کسی بھی سوال کے لئے - کیئر@ویرالوسو ڈاٹ کام پر ہم سے رابطہ کریں۔
cartContain1_veralusso,Support a charity with your donation,Apoyar una organización benéfica con su donación,Поддержите благотворительную организацию с пожертвованием,기부금으로 자선 단체를 지원하십시오,あなたの寄付で慈善を支援してください,Supporta un'organizzazione benefica con la tua donazione,Unterstützen Sie eine Wohltätigkeitsorganisation mit Ihrer Spende,Soutenez un organisme de bienfaisance avec votre don,Steun een goed doel met uw donatie,支持您的捐款,دعم جمعية خيرية مع تبرعك,اپنے عطیہ کے ساتھ کسی خیراتی ادارے کی حمایت کریں
pleaseTryWithAnotherEmailAddress_veralusso,"Please Try With Another Email Address 
Or Write To Us At care@veralusso.com For Further Assistance.","Intente con otra dirección de correo electrónico
O escríbanos en care@veralusso.com para obtener más ayuda.","Пожалуйста, попробуйте с другим адресом электронной почты
Или напишите нам по адресу care@veralusso.com для получения дополнительной помощи.","다른 이메일 주소로 시도하십시오
또는 추가 지원을 위해 Care@veralusso.com으로 우리에게 편지를 보내십시오.","別のメールアドレスでお試しください
または、さらなる支援については、care@veralusso.comに私たちに手紙を書いてください。","Prova con un altro indirizzo email
Oppure scrivici a care@veraluso.com per ulteriore assistenza.","Bitte versuchen Sie es mit einer anderen E -Mail -Adresse
Oder schreiben Sie uns an care@veralusso.com, um weitere Unterstützung zu erhalten.","Veuillez essayer avec une autre adresse e-mail
Ou écrivez-nous à care@veralusso.com pour une aide supplémentaire.","Probeer het met een ander e -mailadres
Of schrijf ons op care@veralusso.com voor verdere hulp.","请尝试另一个电子邮件地址
或通过care@veralusso.com写信给我们，以提供进一步的帮助。","يرجى المحاولة مع عنوان بريد إلكتروني آخر
أو اكتب إلينا على care@veralusso.com لمزيد من المساعدة.","براہ کرم کسی اور ای میل پتے کے ساتھ کوشش کریں
یا مزید مدد کے لئے ہمیں دیکھ بھال@ویرالوسو ڈاٹ کام پر لکھیں۔"
securitySafety100,100% Security & Safety,100% de seguridad y seguridad,100% безопасность и безопасность,100% 보안 및 안전,100％のセキュリティと安全,100% di sicurezza e sicurezza,100% Sicherheit und Sicherheit,Sécurité et sécurité à 100%,100% beveiliging en veiligheid,100％安全与安全,100 ٪ الأمن والسلامة,100 ٪ سیکیورٹی اور حفاظت
buyerProtection,Buyer Protection,Protección al consumidor,Защита Покупателя,구매자 보호,購買者の保護,Protezione dell'acquirente,Käuferschutz,Protection de l'acheteur,kopersbescherming,买家保护,حماية المشتري,تحفظ برائے صارفین
